"muni_id","municipalities","prov_id"
363,"Colomers                                                                                            ",17
364,"Cornellà del Terri                                                                                  ",17
365,"Corçà                                                                                               ",17
366,"Crespià                                                                                             ",17
367,"Darnius                                                                                             ",17
368,"Das                                                                                                 ",17
369,"L'Escala                                                                                            ",17
370,"Espinelves                                                                                          ",17
371,"Espolla                                                                                             ",17
372,"Esponellà                                                                                           ",17
373,"Figueres                                                                                            ",17
374,"Flaçà                                                                                               ",17
375,"Foixà                                                                                               ",17
376,"Fontanals de Cerdanya                                                                               ",17
377,"Fontanilles                                                                                         ",17
378,"Fontcoberta                                                                                         ",17
379,"Fornells de la Selva                                                                                ",17
380,"Fortià                                                                                              ",17
381,"Garrigàs                                                                                            ",17
382,"Garrigoles                                                                                          ",17
383,"Garriguella                                                                                         ",17
384,"Ger                                                                                                 ",17
385,"Girona                                                                                              ",17
386,"Gombrèn                                                                                             ",17
387,"Gualta                                                                                              ",17
388,"Guils de Cerdanya                                                                                   ",17
389,"Hostalric                                                                                           ",17
390,"Isòvol                                                                                              ",17
391,"Jafre                                                                                               ",17
392,"La Jonquera                                                                                         ",17
393,"Juià                                                                                                ",17
394,"Lladó                                                                                               ",17
395,"Llagostera                                                                                          ",17
396,"Llambilles                                                                                          ",17
397,"Llanars                                                                                             ",17
398,"Llançà                                                                                              ",17
399,"Llers                                                                                               ",17
400,"Llívia                                                                                              ",17
401,"Lloret de Mar                                                                                       ",17
402,"Les Llosses                                                                                         ",17
403,"Madremanya                                                                                          ",17
404,"Maià de Montcal                                                                                     ",17
405,"Meranges                                                                                            ",17
406,"Masarac                                                                                             ",17
407,"Massanes                                                                                            ",17
408,"Maçanet de Cabrenys                                                                                 ",17
409,"Maçanet de la Selva                                                                                 ",17
410,"Mieres                                                                                              ",17
411,"Mollet de Peralada                                                                                  ",17
412,"Molló                                                                                               ",17
413,"Montagut i Oix                                                                                      ",17
414,"Mont-ras                                                                                            ",17
415,"Navata                                                                                              ",17
416,"Ogassa                                                                                              ",17
417,"Olot                                                                                                ",17
418,"Ordis                                                                                               ",17
419,"Osor                                                                                                ",17
420,"Palafrugell                                                                                         ",17
421,"Palamós                                                                                             ",17
422,"Palau de Santa Eulàlia                                                                              ",17
423,"Palau-saverdera                                                                                     ",17
424,"Palau-sator                                                                                         ",17
425,"Palol de Revardit                                                                                   ",17
426,"Pals                                                                                                ",17
427,"Pardines                                                                                            ",17
428,"Parlavà                                                                                             ",17
429,"Pau                                                                                                 ",17
430,"Pedret i Marzà                                                                                      ",17
431,"La Pera                                                                                             ",17
432,"Peralada                                                                                            ",17
433,"Les Planes d'Hostoles                                                                               ",17
434,"Planoles                                                                                            ",17
435,"Pont de Molins                                                                                      ",17
436,"Pontós                                                                                              ",17
437,"Porqueres                                                                                           ",17
438,"Portbou                                                                                             ",17
439,"Les Preses                                                                                          ",17
440,"El Port de la Selva                                                                                 ",17
441,"Puigcerdà                                                                                           ",17
442,"Quart                                                                                               ",17
443,"Rabós                                                                                               ",17
444,"Regencós                                                                                            ",17
445,"Ribes de Freser                                                                                     ",17
446,"Riells i Viabrea                                                                                    ",17
447,"Ripoll                                                                                              ",17
